data_series,total_dereg,cat_a,cat_b
  2005 May,9581,4783,2228
  2005 Apr,10582,5317,2632
  2005 Mar,12136,6559,2725
  2005 Feb,7661,4001,1877
  2005 Jan,10235,5282,2246
  2004 Dec,9772,5123,2207
  2004 Nov,9330,4970,2162
  2004 Oct,10062,4866,2225
  2004 Sep,9086,4380,2200
  2004 Aug,8916,4232,2069
  2004 Jul,9359,4554,2131
  2004 Jun,9194,4717,2240
  2004 May,9555,4888,2164
  2004 Apr,9571,4992,2104
  2004 Mar,11658,6340,2479
  2004 Feb,9765,5487,2008
  2004 Jan,8602,4536,1851
  2003 Dec,9834,5059,2263
  2003 Nov,8738,4830,1767
  2003 Oct,9211,4964,1834
  2003 Sep,9238,4873,2042
  2003 Aug,8346,4179,1805
  2003 Jul,9900,5194,2156
  2003 Jun,8924,4508,2012
  2003 May,9712,4994,2091
  2003 Apr,9490,4714,2006
  2003 Mar,9829,5105,1883
  2003 Feb,7403,3929,1548
  2003 Jan,9085,4490,1995
  2002 Dec,7786,4050,1676
  2002 Nov,7431,3545,1623
  2002 Oct,7465,3483,1601
  2002 Sep,7658,3368,1649
  2002 Aug,7865,3543,1717
  2002 Jul,8722,3785,1860
  2002 Jun,7320,3039,1589
  2002 May,7181,3103,1598
  2002 Apr,9542,3883,1910
  2002 Mar,10858,5038,2344
  2002 Feb,6453,2998,1480
